SNR,correlation,coverage,fdr,length,method,nactive,ndiscoveries,power,power_post_BH,regression_dim,risk,sample_size,signal_type,tuning
0.05,0,0.937457042957,0.02,2.43870954381,Selective MLE,4.72,0.56,0.192,0.1,100,1.02796717205,500,1,selective_MLE
0.05,0,0.0,0.0,0.0,Randomized LASSO,4.72,0.0,0.0,0.0,100,0.820946505923,500,1,selective_MLE
0.05,0,0.902203680618,0.035,inf,Lee,15.54,0.94,0.276,0.132,100,0.652411550711,500,1,selective_MLE
0.05,0,0.565987015067,0.5,1.50601151103,Naive,18.58,1.34,0.7,0.0,100,0.652411550711,500,1,selective_MLE
0.1,0,0.926107992008,0.0416666666667,1.60063013697,Selective MLE,8.68,2.0,0.48,0.38,100,0.682772681521,500,1,selective_MLE
0.1,0,0.0,0.0,0.0,Randomized LASSO,8.68,0.0,0.0,0.0,100,0.615859220351,500,1,selective_MLE
0.1,0,0.788245175539,0.166719169719,inf,Lee,20.36,3.2,0.556,0.372,100,0.418810019872,500,1,selective_MLE
0.1,0,0.593770391156,0.48,1.06776996874,Naive,24.36,1.22,0.912,0.0,100,0.418810019872,500,1,selective_MLE
0.15,0,0.938626762127,0.004,1.22111486797,Selective MLE,7.28,3.22,0.708,0.64,100,0.325984583304,500,1,selective_MLE
0.15,0,0.0,0.0,0.0,Randomized LASSO,7.28,0.0,0.0,0.0,100,0.5151162648,500,1,selective_MLE
0.15,0,0.873978371044,0.0903992673993,inf,Lee,21.74,2.86,0.644,0.464,100,0.280431627709,500,1,selective_MLE
0.15,0,0.631333350474,0.38,0.873398104552,Naive,25.08,0.92,0.964,0.0,100,0.280431627709,500,1,selective_MLE
0.2,0,0.891768897769,0.0206666666667,1.0338155556,Selective MLE,8.28,4.32,0.872,0.844,100,0.215462021939,500,1,selective_MLE
0.2,0,0.0,0.0,0.0,Randomized LASSO,8.28,0.0,0.0,0.0,100,0.401905491611,500,1,selective_MLE
0.2,0,0.861183444566,0.0970952380952,inf,Lee,23.46,3.48,0.74,0.536,100,0.214846497925,500,1,selective_MLE
0.2,0,0.630855949609,0.34,0.759580774553,Naive,26.48,0.86,0.992,0.0,100,0.214846497925,500,1,selective_MLE
0.25,0,0.905975468975,0.024,0.899819168512,Selective MLE,7.42,4.54,0.9,0.88,100,0.174473785317,500,1,selective_MLE
0.25,0,0.0,0.0,0.0,Randomized LASSO,7.42,0.0,0.0,0.0,100,0.421809411384,500,1,selective_MLE
0.25,0,0.864400247066,0.125833333333,inf,Lee,21.38,4.28,0.764,0.668,100,0.182037721298,500,1,selective_MLE
0.25,0,0.608578806998,0.48,0.676868448936,Naive,24.06,1.3,0.996,0.0,100,0.182037721298,500,1,selective_MLE
0.3,0,0.906860805861,0.0197142857143,0.791999074151,Selective MLE,7.0,4.94,0.964,0.964,100,0.118313600765,500,1,selective_MLE
0.3,0,0.0,0.0,0.0,Randomized LASSO,7.0,0.0,0.0,0.0,100,0.333848112123,500,1,selective_MLE
0.3,0,0.883543995909,0.0591904761905,inf,Lee,20.82,3.72,0.736,0.656,100,0.150299675758,500,1,selective_MLE
0.3,0,0.615124498408,0.34,0.616692047402,Naive,24.16,0.8,1.0,0.0,100,0.150299675758,500,1,selective_MLE
0.42,0,0.895063492063,0.022380952381,0.656207992641,Selective MLE,7.32,5.1,0.996,0.992,100,0.0685267959665,500,1,selective_MLE
0.42,0,0.0,0.0,0.0,Randomized LASSO,7.32,0.0,0.0,0.0,100,0.278841228658,500,1,selective_MLE
0.42,0,0.853230856303,0.144404761905,inf,Lee,21.96,4.54,0.8,0.72,100,0.122385160693,500,1,selective_MLE
0.42,0,0.597283994482,0.44,0.52081007883,Naive,25.86,1.3,1.0,0.0,100,0.122385160693,500,1,selective_MLE
0.71,0,0.895963768116,0.01,0.489990645513,Selective MLE,6.5,5.06,1.0,1.0,100,0.0302118943543,500,1,selective_MLE
0.71,0,0.0,0.0,0.0,Randomized LASSO,6.5,0.0,0.0,0.0,100,0.200842080649,500,1,selective_MLE
0.71,0,0.840865259701,0.129703463203,inf,Lee,21.3,4.52,0.78,0.736,100,0.064742081091,500,1,selective_MLE
0.71,0,0.605603797089,0.44,0.404439089414,Naive,24.74,0.98,1.0,0.0,100,0.064742081091,500,1,selective_MLE
1.22,0,0.878015151515,0.0,0.368012101716,Selective MLE,6.48,5.0,1.0,1.0,100,0.0178112548381,500,1,selective_MLE
1.22,0,0.0,0.0,0.0,Randomized LASSO,6.48,0.0,0.0,0.0,100,0.153741474347,500,1,selective_MLE
1.22,0,0.887908101558,0.0727619047619,inf,Lee,22.08,5.1,0.916,0.872,100,0.0355829221315,500,1,selective_MLE
1.22,0,0.600077278822,0.44,0.305925814842,Naive,24.76,1.22,1.0,0.0,100,0.0355829221315,500,1,selective_MLE
2.07,0,0.884706349206,0.0114285714286,0.27689442939,Selective MLE,6.18,5.08,1.0,1.0,100,0.0105093060895,500,1,selective_MLE
2.07,0,0.0,0.0,0.0,Randomized LASSO,6.18,0.0,0.0,0.0,100,0.0905511133875,500,1,selective_MLE
2.07,0,0.856255336237,0.12569047619,inf,Lee,21.82,5.48,0.94,0.904,100,0.0192982775325,500,1,selective_MLE
2.07,0,0.611937525472,0.42,0.234382449577,Naive,25.3,0.84,1.0,0.0,100,0.0192982775325,500,1,selective_MLE
