SNR,correlation,coverage,fdr,length,method,nactive,ndiscoveries,power,power_post_BH,regression_dim,risk,sample_size,signal_type,tuning
0.05,0.7,0.941353246753,0.0466666666667,3.12847862728,Selective MLE,8.08,0.34,0.12,0.052,100,1.66586374221,500,1,selective_MLE
0.05,0.7,0.0,0.0,0.0,Randomized LASSO,8.08,0.0,0.0,0.0,100,0.801798637534,500,1,selective_MLE
0.05,0.7,0.84664048404,0.106333333333,inf,Lee,18.28,1.28,0.204,0.092,100,0.661064182407,500,1,selective_MLE
0.05,0.7,0.759772511809,0.32,1.81220998005,Naive,20.7,0.6,0.388,0.0,100,0.661064182407,500,1,selective_MLE
0.1,0.7,0.923905114493,0.065,2.04022769938,Selective MLE,8.38,1.48,0.384,0.26,100,0.799341484436,500,1,selective_MLE
0.1,0.7,0.0,0.0,0.0,Randomized LASSO,8.38,0.0,0.0,0.0,100,0.562341962093,500,1,selective_MLE
0.1,0.7,0.934468458444,0.0416666666667,inf,Lee,18.56,0.82,0.328,0.148,100,0.362204790134,500,1,selective_MLE
0.1,0.7,0.772552814909,0.36,1.30374672061,Naive,20.16,0.62,0.6,0.0,100,0.362204790134,500,1,selective_MLE
0.15,0.7,0.909303241203,0.0996666666667,1.61825315428,Selective MLE,9.32,2.62,0.576,0.464,100,0.480043897059,500,1,selective_MLE
0.15,0.7,0.0,0.0,0.0,Randomized LASSO,9.32,0.0,0.0,0.0,100,0.46261866559,500,1,selective_MLE
0.15,0.7,0.857411817184,0.0915555555556,inf,Lee,20.02,2.04,0.484,0.3,100,0.246989970283,500,1,selective_MLE
0.15,0.7,0.746438916071,0.38,1.06442385769,Naive,22.18,0.64,0.784,0.0,100,0.246989970283,500,1,selective_MLE
0.2,0.7,0.893055028305,0.0746666666667,1.34162708639,Selective MLE,9.2,3.46,0.7,0.632,100,0.350465323309,500,1,selective_MLE
0.2,0.7,0.0,0.0,0.0,Randomized LASSO,9.2,0.0,0.0,0.0,100,0.399987898639,500,1,selective_MLE
0.2,0.7,0.899794766829,0.0613333333333,inf,Lee,20.04,2.3,0.544,0.4,100,0.202248144831,500,1,selective_MLE
0.2,0.7,0.723670204707,0.36,0.936604099722,Naive,22.14,0.66,0.828,0.0,100,0.202248144831,500,1,selective_MLE
0.25,0.7,0.901028776779,0.0600476190476,1.10528070685,Selective MLE,7.96,4.3,0.824,0.796,100,0.231265018526,500,1,selective_MLE
0.25,0.7,0.0,0.0,0.0,Randomized LASSO,7.96,0.0,0.0,0.0,100,0.391931305213,500,1,selective_MLE
0.25,0.7,0.869938608551,0.058,inf,Lee,19.4,2.36,0.584,0.408,100,0.172239159064,500,1,selective_MLE
0.25,0.7,0.734517071822,0.3,0.825343778303,Naive,20.96,0.52,0.9,0.0,100,0.172239159064,500,1,selective_MLE
0.3,0.7,0.903070593622,0.0580952380952,1.07247799185,Selective MLE,9.46,4.5,0.868,0.836,100,0.207613886764,500,1,selective_MLE
0.3,0.7,0.0,0.0,0.0,Randomized LASSO,9.46,0.0,0.0,0.0,100,0.365459757906,500,1,selective_MLE
0.3,0.7,0.837387555884,0.131878787879,inf,Lee,20.3,3.48,0.66,0.536,100,0.137834199808,500,1,selective_MLE
0.3,0.7,0.725759395522,0.32,0.76482979869,Naive,22.32,0.46,0.944,0.0,100,0.137834199808,500,1,selective_MLE
0.42,0.7,0.916862914863,0.0423333333333,0.792847708267,Selective MLE,7.96,4.94,0.952,0.944,100,0.103537820619,500,1,selective_MLE
0.42,0.7,0.0,0.0,0.0,Randomized LASSO,7.96,0.0,0.0,0.0,100,0.321212638744,500,1,selective_MLE
0.42,0.7,0.876272476718,0.082,inf,Lee,22.58,3.2,0.672,0.552,100,0.101927117901,500,1,selective_MLE
0.42,0.7,0.745566797024,0.32,0.651727263064,Naive,24.72,0.64,0.988,0.0,100,0.101927117901,500,1,selective_MLE
0.71,0.7,0.911663780664,0.00666666666667,0.574890188171,Selective MLE,7.18,5.02,1.0,0.996,100,0.0397673470199,500,1,selective_MLE
0.71,0.7,0.0,0.0,0.0,Randomized LASSO,7.18,0.0,0.0,0.0,100,0.250400422185,500,1,selective_MLE
0.71,0.7,0.868175712041,0.105714285714,inf,Lee,20.78,4.44,0.828,0.74,100,0.0603137823088,500,1,selective_MLE
0.71,0.7,0.737111160385,0.5,0.493834490485,Naive,23.82,0.86,1.0,0.0,100,0.0603137823088,500,1,selective_MLE
1.22,0.7,0.893790598291,0.0238095238095,0.421277992252,Selective MLE,7.06,5.16,1.0,1.0,100,0.0197899774304,500,1,selective_MLE
1.22,0.7,0.0,0.0,0.0,Randomized LASSO,7.06,0.0,0.0,0.0,100,0.171959642058,500,1,selective_MLE
1.22,0.7,0.85568554212,0.0900952380952,inf,Lee,20.96,4.4,0.836,0.768,100,0.0331405157854,500,1,selective_MLE
1.22,0.7,0.69805206367,0.5,0.376074177624,Naive,23.7,1.1,1.0,0.0,100,0.0331405157854,500,1,selective_MLE
2.07,0.7,0.918686094951,0.0166666666667,0.31458774565,Selective MLE,6.98,5.1,1.0,1.0,100,0.0132487406717,500,1,selective_MLE
2.07,0.7,0.0,0.0,0.0,Randomized LASSO,6.98,0.0,0.0,0.0,100,0.105343758224,500,1,selective_MLE
2.07,0.7,0.896404172114,0.0737619047619,inf,Lee,18.86,4.74,0.876,0.872,100,0.0196362653582,500,1,selective_MLE
2.07,0.7,0.745607621443,0.4,0.284394427217,Naive,21.04,0.68,1.0,0.0,100,0.0196362653582,500,1,selective_MLE
