SNR,correlation,coverage,fdr,length,method,nactive,ndiscoveries,power,power_post_BH,regression_dim,risk,sample_size,signal_type,tuning
0.05,0,0.932472356019,0.03,2.6324941767,Selective MLE,5.98,0.34,0.144,0.06,100,1.32630280485,500,1,selective_MLE
0.05,0,0.0,0.0,0.0,Randomized LASSO,5.98,0.0,0.0,0.0,100,0.850486099629,500,1,selective_MLE
0.05,0,0.860325496125,0.0786666666667,inf,Lee,15.4,1.16,0.248,0.128,100,0.743435422189,500,1,selective_MLE
0.05,0,0.58166636283,0.36,1.50526063476,Naive,18.64,0.72,0.624,0.0,100,0.743435422189,500,1,selective_MLE
0.1,0,0.918493841556,0.0636666666667,1.60463392779,Selective MLE,7.62,2.08,0.452,0.368,100,0.790410383997,500,1,selective_MLE
0.1,0,0.0,0.0,0.0,Randomized LASSO,7.62,0.0,0.0,0.0,100,0.633263657991,500,1,selective_MLE
0.1,0,0.772588728079,0.143692918193,inf,Lee,18.2,3.18,0.592,0.384,100,0.402338513706,500,1,selective_MLE
0.1,0,0.638335673122,0.48,1.06272306187,Naive,22.58,1.14,0.9,0.0,100,0.402338513706,500,1,selective_MLE
0.15,0,0.930189535954,0.0426666666667,1.26801056055,Selective MLE,8.9,3.36,0.72,0.64,100,0.441970517896,500,1,selective_MLE
0.15,0,0.0,0.0,0.0,Randomized LASSO,8.9,0.0,0.0,0.0,100,0.500278735638,500,1,selective_MLE
0.15,0,0.861172095308,0.0819047619048,inf,Lee,23.32,2.64,0.584,0.412,100,0.311910915364,500,1,selective_MLE
0.15,0,0.631503502131,0.4,0.87618977193,Naive,26.48,0.78,0.976,0.0,100,0.311910915364,500,1,selective_MLE
0.2,0,0.891537668214,0.045380952381,1.06823603924,Selective MLE,9.58,4.38,0.88,0.828,100,0.295231118235,500,1,selective_MLE
0.2,0,0.0,0.0,0.0,Randomized LASSO,9.58,0.0,0.0,0.0,100,0.41184090871,500,1,selective_MLE
0.2,0,0.873406617318,0.0773709273183,inf,Lee,22.54,3.38,0.676,0.552,100,0.225929760535,500,1,selective_MLE
0.2,0,0.615013356706,0.26,0.754970800244,Naive,26.28,0.58,0.992,0.0,100,0.225929760535,500,1,selective_MLE
0.25,0,0.89275951826,0.0173333333333,0.88119704876,Selective MLE,8.18,4.64,0.924,0.908,100,0.182150423954,500,1,selective_MLE
0.25,0,0.0,0.0,0.0,Randomized LASSO,8.18,0.0,0.0,0.0,100,0.329875217599,500,1,selective_MLE
0.25,0,0.862133418685,0.0904706959707,inf,Lee,23.42,4.14,0.756,0.64,100,0.178438719613,500,1,selective_MLE
0.25,0,0.611743771144,0.48,0.674957724008,Naive,26.86,1.42,1.0,0.0,100,0.178438719613,500,1,selective_MLE
0.3,0,0.916427925016,0.0285714285714,0.79173975785,Selective MLE,7.5,5.02,0.976,0.968,100,0.111715425255,500,1,selective_MLE
0.3,0,0.0,0.0,0.0,Randomized LASSO,7.5,0.0,0.0,0.0,100,0.298821814837,500,1,selective_MLE
0.3,0,0.911144418584,0.0596168831169,inf,Lee,22.0,4.12,0.84,0.736,100,0.137883197407,500,1,selective_MLE
0.3,0,0.623022913068,0.3,0.616177690356,Naive,25.68,0.82,1.0,0.0,100,0.137883197407,500,1,selective_MLE
0.42,0,0.902132034632,0.0157142857143,0.635633387241,Selective MLE,7.18,5.06,0.992,0.992,100,0.0713444446047,500,1,selective_MLE
0.42,0,0.0,0.0,0.0,Randomized LASSO,7.18,0.0,0.0,0.0,100,0.243721553208,500,1,selective_MLE
0.42,0,0.892962359305,0.056380952381,inf,Lee,22.28,3.96,0.748,0.688,100,0.0969747510687,500,1,selective_MLE
0.42,0,0.601893799756,0.38,0.519658907133,Naive,26.24,1.18,1.0,0.0,100,0.0969747510687,500,1,selective_MLE
0.71,0,0.913706349206,0.00666666666667,0.458282318816,Selective MLE,6.28,5.0,0.992,0.992,100,0.0321801187824,500,1,selective_MLE
0.71,0,0.0,0.0,0.0,Randomized LASSO,6.28,0.0,0.0,0.0,100,0.218274335294,500,1,selective_MLE
0.71,0,0.907448196543,0.0443846153846,inf,Lee,22.62,4.5,0.872,0.832,100,0.0601112928232,500,1,selective_MLE
0.71,0,0.645894221103,0.32,0.400115092722,Naive,26.46,0.94,1.0,0.0,100,0.0601112928232,500,1,selective_MLE
1.22,0,0.89423981574,0.0190476190476,0.36355554238,Selective MLE,6.96,5.12,1.0,1.0,100,0.024659280186,500,1,selective_MLE
1.22,0,0.0,0.0,0.0,Randomized LASSO,6.96,0.0,0.0,0.0,100,0.110645464006,500,1,selective_MLE
1.22,0,0.843731225696,0.129650793651,inf,Lee,21.5,4.9,0.844,0.78,100,0.0361396721766,500,1,selective_MLE
1.22,0,0.573358425381,0.36,0.304981895518,Naive,24.02,0.88,1.0,0.0,100,0.0361396721766,500,1,selective_MLE
2.07,0,0.903992063492,0.00666666666667,0.267634909387,Selective MLE,6.66,5.04,1.0,1.0,100,0.00916534444897,500,1,selective_MLE
2.07,0,0.0,0.0,0.0,Randomized LASSO,6.66,0.0,0.0,0.0,100,0.0798053674236,500,1,selective_MLE
2.07,0,0.864089754713,0.109571428571,inf,Lee,22.6,4.92,0.88,0.808,100,0.0217887602061,500,1,selective_MLE
2.07,0,0.63382150953,0.44,0.234850586616,Naive,25.6,0.84,1.0,0.0,100,0.0217887602061,500,1,selective_MLE
