SNR,correlation,coverage,fdr,length,method,nactive,ndiscoveries,power,power_post_BH,regression_dim,risk,sample_size,signal_type,tuning
0.05,0.35,0.86380952381,0.16,13.0374740184,Selective MLE,2.08,0.16,0.002,0.0,1000,5.02989513105,200,1,selective_MLE
0.05,0.35,0.0,0.0,0.0,Randomized LASSO,2.08,0.0,0.0,0.0,1000,1.03326475867,200,1,selective_MLE
0.05,0.35,0.810161064426,0.1775,inf,Lee,7.06,0.66,0.01,0.002,1000,1.15804369753,200,1,selective_MLE
0.05,0.35,0.1912071848,0.76,3.51752981257,Naive,10.42,2.08,0.028,0.0,1000,1.15804369753,200,1,selective_MLE
0.1,0.35,0.897142857143,0.08,9.71567962848,Selective MLE,1.82,0.14,0.006,0.004,1000,2.95736722228,200,1,selective_MLE
0.1,0.35,0.0,0.0,0.0,Randomized LASSO,1.82,0.0,0.0,0.0,1000,1.00318150658,200,1,selective_MLE
0.1,0.35,0.868062434138,0.0953846153846,inf,Lee,10.6,0.5,0.022,0.014,1000,1.08288774171,200,1,selective_MLE
0.1,0.35,0.306908254952,0.64,2.55676876557,Naive,14.78,1.6,0.082,0.0,1000,1.08288774171,200,1,selective_MLE
0.15,0.35,0.924285714286,0.02,8.12544927375,Selective MLE,1.7,0.1,0.01,0.008,1000,1.78432174263,200,1,selective_MLE
0.15,0.35,0.0,0.0,0.0,Randomized LASSO,1.7,0.0,0.0,0.0,1000,0.983208270296,200,1,selective_MLE
0.15,0.35,0.852194383721,0.143166666667,inf,Lee,9.98,0.96,0.042,0.02,1000,0.993737003883,200,1,selective_MLE
0.15,0.35,0.337529616061,0.58,2.13063655281,Naive,14.76,1.7,0.122,0.0,1000,0.993737003883,200,1,selective_MLE
0.2,0.35,0.91380952381,0.1,6.73586062053,Selective MLE,2.14,0.1,0.002,0.0,1000,2.19256133433,200,1,selective_MLE
0.2,0.35,0.0,0.0,0.0,Randomized LASSO,2.14,0.0,0.0,0.0,1000,0.991266295579,200,1,selective_MLE
0.2,0.35,0.766471372755,0.172,inf,Lee,14.1,0.92,0.05,0.026,1000,0.992526772626,200,1,selective_MLE
0.2,0.35,0.482946940064,0.56,1.92496100515,Naive,20.98,1.5,0.166,0.0,1000,0.992526772626,200,1,selective_MLE
0.25,0.35,0.874333333333,0.1,5.7006648181,Selective MLE,2.6,0.22,0.016,0.012,1000,1.80139037275,200,1,selective_MLE
0.25,0.35,0.0,0.0,0.0,Randomized LASSO,2.6,0.0,0.0,0.0,1000,0.976643552483,200,1,selective_MLE
0.25,0.35,0.786518225676,0.11119047619,inf,Lee,17.44,1.4,0.088,0.044,1000,0.895249457402,200,1,selective_MLE
0.25,0.35,0.598940055094,0.42,1.7871635152,Naive,26.52,1.08,0.216,0.0,1000,0.895249457402,200,1,selective_MLE
0.3,0.35,0.883598484848,0.08,5.99079681341,Selective MLE,3.14,0.12,0.016,0.004,1000,1.79804896466,200,1,selective_MLE
0.3,0.35,0.0,0.0,0.0,Randomized LASSO,3.14,0.0,0.0,0.0,1000,0.97217454907,200,1,selective_MLE
0.3,0.35,0.850180818168,0.0937095188953,inf,Lee,18.84,1.32,0.092,0.028,1000,0.86628788711,200,1,selective_MLE
0.3,0.35,0.637800000485,0.38,1.65945204094,Naive,27.22,1.04,0.244,0.0,1000,0.86628788711,200,1,selective_MLE
0.42,0.35,0.939222222222,0.0466666666667,4.48839314161,Selective MLE,3.5,0.36,0.04,0.03,1000,1.38678502316,200,1,selective_MLE
0.42,0.35,0.0,0.0,0.0,Randomized LASSO,3.5,0.0,0.0,0.0,1000,0.950472355433,200,1,selective_MLE
0.42,0.35,0.813218122313,0.142135142721,inf,Lee,30.2,2.54,0.168,0.058,1000,0.760968826709,200,1,selective_MLE
0.42,0.35,0.821904659163,0.1,1.56279526504,Naive,42.0,0.3,0.304,0.0,1000,0.760968826709,200,1,selective_MLE
0.71,0.35,0.845983079609,0.0618571428571,2.92592844044,Selective MLE,8.7,1.94,0.21,0.172,1000,1.17719079209,200,1,selective_MLE
0.71,0.35,0.0,0.0,0.0,Randomized LASSO,8.7,0.0,0.0,0.0,1000,0.853407944406,200,1,selective_MLE
0.71,0.35,0.724240274315,0.150139194139,inf,Lee,39.4,3.52,0.266,0.104,1000,0.545188750369,200,1,selective_MLE
0.71,0.35,0.897369823919,0.0,1.37021257383,Naive,52.54,0.0,0.458,0.0,1000,0.545188750369,200,1,selective_MLE
1.22,0.35,0.846472687459,0.139342712843,1.62609900699,Selective MLE,17.96,6.02,0.568,0.506,1000,0.828578087539,200,1,selective_MLE
1.22,0.35,0.0,0.0,0.0,Randomized LASSO,17.96,0.0,0.0,0.0,1000,0.669072845661,200,1,selective_MLE
1.22,0.35,0.697092694354,0.187363717137,inf,Lee,51.82,4.82,0.32,0.118,1000,0.354254840901,200,1,selective_MLE
1.22,0.35,0.968201494975,0.0,1.22242066847,Naive,64.82,0.0,0.61,0.0,1000,0.354254840901,200,1,selective_MLE
2.07,0.35,0.821919854055,0.122014403897,1.1382269201,Selective MLE,19.38,8.82,0.784,0.754,1000,0.446110763277,200,1,selective_MLE
2.07,0.35,0.0,0.0,0.0,Randomized LASSO,19.38,0.0,0.0,0.0,1000,0.567708010316,200,1,selective_MLE
2.07,0.35,0.786147231511,0.120987886383,inf,Lee,51.26,3.02,0.252,0.072,1000,0.207900773568,200,1,selective_MLE
2.07,0.35,0.987254893848,0.0,1.10094183201,Naive,62.74,0.0,0.858,0.0,1000,0.207900773568,200,1,selective_MLE
