SNR,correlation,coverage,fdr,length,method,nactive,ndiscoveries,power,power_post_BH,regression_dim,risk,sample_size,signal_type,tuning
0.05,0.7,0.922039239687,0.04,26.7382076911,Selective MLE,11.66,0.04,0.006,0.0,1000,66.5802029991,200,1,randomized_LASSO
0.05,0.7,0.0,0.0,0.0,Randomized LASSO,11.66,0.0,0.0,0.0,1000,1.19241631522,200,1,randomized_LASSO
0.05,0.7,0.831904761905,0.13580952381,inf,Lee,7.1,0.9,0.01,0.004,1000,1.09243672774,200,1,randomized_LASSO
0.05,0.7,0.270358916792,0.7,3.68320282859,Naive,9.44,1.6,0.042,0.0,1000,1.09243672774,200,1,randomized_LASSO
0.1,0.7,0.928723475835,0.06,16.7480169573,Selective MLE,14.62,0.1,0.014,0.002,1000,38.3852852404,200,1,randomized_LASSO
0.1,0.7,0.0,0.0,0.0,Randomized LASSO,14.62,0.0,0.0,0.0,1000,1.08132675964,200,1,randomized_LASSO
0.1,0.7,0.797081201567,0.163333333333,inf,Lee,8.2,0.42,0.028,0.01,1000,1.03348868058,200,1,randomized_LASSO
0.1,0.7,0.322675568223,0.62,2.64005149869,Naive,11.44,1.56,0.074,0.0,1000,1.03348868058,200,1,randomized_LASSO
0.15,0.7,0.915431178923,0.06,12.6546074846,Selective MLE,19.12,0.16,0.02,0.008,1000,26.7440029516,200,1,randomized_LASSO
0.15,0.7,0.0,0.0,0.0,Randomized LASSO,19.12,0.0,0.0,0.0,1000,1.05911312813,200,1,randomized_LASSO
0.15,0.7,0.835593582888,0.141904761905,inf,Lee,12.14,1.16,0.032,0.014,1000,0.97478395775,200,1,randomized_LASSO
0.15,0.7,0.488651842883,0.58,2.28796404695,Naive,17.02,1.14,0.11,0.0,1000,0.97478395775,200,1,randomized_LASSO
0.2,0.7,0.929907924884,0.0433333333333,11.0906038198,Selective MLE,17.38,0.14,0.028,0.006,1000,20.0408717049,200,1,randomized_LASSO
0.2,0.7,0.0,0.0,0.0,Randomized LASSO,17.38,0.0,0.0,0.0,1000,0.978984630566,200,1,randomized_LASSO
0.2,0.7,0.851145612054,0.0453787878788,inf,Lee,13.02,0.62,0.048,0.028,1000,0.91935867248,200,1,randomized_LASSO
0.2,0.7,0.498082557816,0.42,2.00267496449,Naive,18.48,0.94,0.142,0.0,1000,0.91935867248,200,1,randomized_LASSO
0.25,0.7,0.932610591671,0.0,9.82534260533,Selective MLE,19.14,0.04,0.036,0.004,1000,15.6008974535,200,1,randomized_LASSO
0.25,0.7,0.0,0.0,0.0,Randomized LASSO,19.14,0.0,0.0,0.0,1000,0.969227518518,200,1,randomized_LASSO
0.25,0.7,0.864711775957,0.0647619047619,inf,Lee,18.82,0.8,0.064,0.018,1000,0.885846251708,200,1,randomized_LASSO
0.25,0.7,0.607958829559,0.24,1.91984322427,Naive,25.94,0.54,0.174,0.0,1000,0.885846251708,200,1,randomized_LASSO
0.3,0.7,0.900900980781,0.03,8.33118546751,Selective MLE,23.84,0.14,0.064,0.01,1000,14.670816331,200,1,randomized_LASSO
0.3,0.7,0.0,0.0,0.0,Randomized LASSO,23.84,0.0,0.0,0.0,1000,0.938287802512,200,1,randomized_LASSO
0.3,0.7,0.744268267323,0.167569489334,inf,Lee,21.12,2.0,0.104,0.042,1000,0.827632432351,200,1,randomized_LASSO
0.3,0.7,0.658147077777,0.18,1.78476753909,Naive,27.86,0.4,0.194,0.0,1000,0.827632432351,200,1,randomized_LASSO
0.42,0.7,0.929540607176,0.0566666666667,6.80360118209,Selective MLE,27.46,0.24,0.11,0.016,1000,13.5209534407,200,1,randomized_LASSO
0.42,0.7,0.0,0.0,0.0,Randomized LASSO,27.46,0.0,0.0,0.0,1000,0.844098099742,200,1,randomized_LASSO
0.42,0.7,0.828304221914,0.118290598291,inf,Lee,27.26,1.14,0.116,0.03,1000,0.719350085744,200,1,randomized_LASSO
0.42,0.7,0.782597848276,0.18,1.6578804247,Naive,36.58,0.28,0.224,0.0,1000,0.719350085744,200,1,randomized_LASSO
0.71,0.7,0.889349872267,0.113095238095,4.67826236113,Selective MLE,32.88,0.98,0.226,0.06,1000,7.70099169377,200,1,randomized_LASSO
0.71,0.7,0.0,0.0,0.0,Randomized LASSO,32.88,0.0,0.0,0.0,1000,0.730480536029,200,1,randomized_LASSO
0.71,0.7,0.859988542109,0.0599251336898,inf,Lee,40.34,1.38,0.154,0.03,1000,0.520966311478,200,1,randomized_LASSO
0.71,0.7,0.918887154994,0.0,1.46136235542,Naive,49.7,0.0,0.382,0.0,1000,0.520966311478,200,1,randomized_LASSO
1.22,0.7,0.847615136972,0.213984126984,3.38018198745,Selective MLE,33.92,3.2,0.472,0.236,1000,4.80133134411,200,1,randomized_LASSO
1.22,0.7,0.0,0.0,0.0,Randomized LASSO,33.92,0.0,0.0,0.0,1000,0.574001051024,200,1,randomized_LASSO
1.22,0.7,0.825169195991,0.10756017316,inf,Lee,49.1,2.14,0.194,0.044,1000,0.322558328992,200,1,randomized_LASSO
1.22,0.7,0.965361186761,0.0,1.36091425418,Naive,57.4,0.0,0.504,0.0,1000,0.322558328992,200,1,randomized_LASSO
2.07,0.7,0.774512289686,0.225146242646,2.36868393184,Selective MLE,34.82,7.78,0.722,0.578,1000,2.90326565422,200,1,randomized_LASSO
2.07,0.7,0.0,0.0,0.0,Randomized LASSO,34.82,0.0,0.0,0.0,1000,0.439628497143,200,1,randomized_LASSO
2.07,0.7,0.747848973929,0.161774509804,inf,Lee,52.44,2.96,0.282,0.07,1000,0.189410896637,200,1,randomized_LASSO
2.07,0.7,0.986016239696,0.0,1.23917614471,Naive,59.64,0.0,0.652,0.0,1000,0.189410896637,200,1,randomized_LASSO
