SNR,correlation,coverage,fdr,length,method,nactive,ndiscoveries,power,power_post_BH,regression_dim,risk,sample_size,signal_type,tuning
0.05,0,0.939333333333,0.02,12.4883493047,Selective MLE,1.98,0.04,0.002,0.002,1000,3.24705655557,200,1,selective_MLE
0.05,0,0.0,0.0,0.0,Randomized LASSO,1.98,0.0,0.0,0.0,1000,1.01323890467,200,1,selective_MLE
0.05,0,0.840792221,0.138,inf,Lee,7.68,0.76,0.012,0.004,1000,1.18979142946,200,1,selective_MLE
0.05,0,0.182062781828,0.82,3.51806995253,Naive,11.78,2.46,0.032,0.0,1000,1.18979142946,200,1,selective_MLE
0.1,0,0.948142857143,0.06,7.72927664108,Selective MLE,2.1,0.06,0.002,0.0,1000,2.20315756913,200,1,selective_MLE
0.1,0,0.0,0.0,0.0,Randomized LASSO,2.1,0.0,0.0,0.0,1000,0.994559752969,200,1,selective_MLE
0.1,0,0.817267346017,0.125,inf,Lee,8.36,0.66,0.018,0.01,1000,1.0499982218,200,1,selective_MLE
0.1,0,0.259410577097,0.74,2.51991380922,Naive,11.48,2.18,0.092,0.0,1000,1.0499982218,200,1,selective_MLE
0.15,0,0.94331372549,0.06,6.34782521321,Selective MLE,3.4,0.1,0.006,0.002,1000,1.98416436442,200,1,selective_MLE
0.15,0,0.0,0.0,0.0,Randomized LASSO,3.4,0.0,0.0,0.0,1000,0.995273245034,200,1,selective_MLE
0.15,0,0.843812152985,0.111397435897,inf,Lee,11.76,0.96,0.046,0.018,1000,0.986295023502,200,1,selective_MLE
0.15,0,0.427335079752,0.6,2.13817019831,Naive,17.76,1.64,0.144,0.0,1000,0.986295023502,200,1,selective_MLE
0.2,0,0.90203030303,0.0933333333333,5.72350149651,Selective MLE,2.96,0.34,0.024,0.016,1000,1.85651551225,200,1,selective_MLE
0.2,0,0.0,0.0,0.0,Randomized LASSO,2.96,0.0,0.0,0.0,1000,0.978648208349,200,1,selective_MLE
0.2,0,0.871329972555,0.0879191919192,inf,Lee,11.34,1.0,0.05,0.032,1000,0.946348528327,200,1,selective_MLE
0.2,0,0.440246057252,0.64,1.89304610067,Naive,17.38,1.98,0.156,0.0,1000,0.946348528327,200,1,selective_MLE
0.25,0,0.923824675325,0.04,4.8411497362,Selective MLE,2.92,0.28,0.024,0.024,1000,1.35427531353,200,1,selective_MLE
0.25,0,0.0,0.0,0.0,Randomized LASSO,2.92,0.0,0.0,0.0,1000,0.963936970096,200,1,selective_MLE
0.25,0,0.799817592593,0.109792207792,inf,Lee,17.6,1.18,0.108,0.038,1000,0.877901846227,200,1,selective_MLE
0.25,0,0.60424285517,0.38,1.78254634538,Naive,26.46,1.24,0.256,0.0,1000,0.877901846227,200,1,selective_MLE
0.3,0,0.962333333333,0.02,4.0846953987,Selective MLE,4.1,0.28,0.036,0.024,1000,1.27509640458,200,1,selective_MLE
0.3,0,0.0,0.0,0.0,Randomized LASSO,4.1,0.0,0.0,0.0,1000,0.963413654406,200,1,selective_MLE
0.3,0,0.740728587282,0.14370148857,inf,Lee,22.58,2.64,0.176,0.064,1000,0.871637370414,200,1,selective_MLE
0.3,0,0.690347872224,0.32,1.71056902174,Naive,32.36,0.74,0.246,0.0,1000,0.871637370414,200,1,selective_MLE
0.42,0,0.908340548341,0.0333333333333,3.4626911418,Selective MLE,6.06,0.84,0.13,0.078,1000,1.46313049815,200,1,selective_MLE
0.42,0,0.0,0.0,0.0,Randomized LASSO,6.06,0.0,0.0,0.0,1000,0.902483553335,200,1,selective_MLE
0.42,0,0.772215413934,0.117950980392,inf,Lee,27.52,2.04,0.176,0.072,1000,0.739251951337,200,1,selective_MLE
0.42,0,0.800636311322,0.12,1.51881127885,Naive,38.1,0.32,0.342,0.0,1000,0.739251951337,200,1,selective_MLE
0.71,0,0.902711246222,0.135333333333,2.29066703226,Selective MLE,11.94,2.6,0.258,0.204,1000,1.07824235978,200,1,selective_MLE
0.71,0,0.0,0.0,0.0,Randomized LASSO,11.94,0.0,0.0,0.0,1000,0.836538976592,200,1,selective_MLE
0.71,0,0.816120961485,0.0964545454545,inf,Lee,39.2,2.22,0.218,0.066,1000,0.56972376987,200,1,selective_MLE
0.71,0,0.893159232195,0.02,1.33867459865,Naive,52.92,0.02,0.456,0.0,1000,0.56972376987,200,1,selective_MLE
1.22,0,0.846552646398,0.148354256854,1.45750373595,Selective MLE,17.32,5.84,0.514,0.482,1000,0.727206377914,200,1,selective_MLE
1.22,0,0.0,0.0,0.0,Randomized LASSO,17.32,0.0,0.0,0.0,1000,0.711660402878,200,1,selective_MLE
1.22,0,0.697183263023,0.178388196001,inf,Lee,47.9,4.66,0.336,0.12,1000,0.37145714765,200,1,selective_MLE
1.22,0,0.960033854849,0.0,1.18905978659,Naive,61.66,0.0,0.622,0.0,1000,0.37145714765,200,1,selective_MLE
2.07,0,0.813603148591,0.116182900433,0.9652716672,Selective MLE,18.1,8.96,0.792,0.772,1000,0.347558277288,200,1,selective_MLE
2.07,0,0.0,0.0,0.0,Randomized LASSO,18.1,0.0,0.0,0.0,1000,0.556557304432,200,1,selective_MLE
2.07,0,0.729880633536,0.176751570048,inf,Lee,52.32,4.46,0.352,0.102,1000,0.20332446773,200,1,selective_MLE
2.07,0,0.983468197749,0.0,1.08614747667,Naive,61.2,0.0,0.858,0.0,1000,0.20332446773,200,1,selective_MLE
