SNR,correlation,coverage,fdr,length,method,nactive,ndiscoveries,power,power_post_BH,regression_dim,risk,sample_size,signal_type,tuning
0.05,0,0.88897128285,0.323333333333,8.79220766982,Selective MLE,12.98,0.52,0.008,0.004,1000,8.2886621002,200,1,randomized_LASSO
0.05,0,0.0,0.0,0.0,Randomized LASSO,12.98,0.0,0.0,0.0,1000,1.31442104866,200,1,randomized_LASSO
0.05,0,0.753510470915,0.211666666667,inf,Lee,8.2,0.94,0.01,0.006,1000,1.17248749115,200,1,randomized_LASSO
0.05,0,0.20697947614,0.76,3.51707544591,Naive,12.46,2.12,0.024,0.0,1000,1.17248749115,200,1,randomized_LASSO
0.1,0,0.891872254469,0.123333333333,6.34530176112,Selective MLE,14.0,0.44,0.032,0.012,1000,5.70079582818,200,1,randomized_LASSO
0.1,0,0.0,0.0,0.0,Randomized LASSO,14.0,0.0,0.0,0.0,1000,1.10763024692,200,1,randomized_LASSO
0.1,0,0.803814659197,0.159271561772,inf,Lee,10.16,1.16,0.024,0.014,1000,1.05070354854,200,1,randomized_LASSO
0.1,0,0.308253659516,0.62,2.55566050799,Naive,14.88,1.6,0.098,0.0,1000,1.05070354854,200,1,randomized_LASSO
0.15,0,0.868768231273,0.223333333333,4.71418264616,Selective MLE,17.82,0.66,0.08,0.024,1000,3.98836268352,200,1,randomized_LASSO
0.15,0,0.0,0.0,0.0,Randomized LASSO,17.82,0.0,0.0,0.0,1000,1.0430537927,200,1,randomized_LASSO
0.15,0,0.835598452955,0.0742608695652,inf,Lee,13.64,0.7,0.032,0.012,1000,1.00792015423,200,1,randomized_LASSO
0.15,0,0.403810732703,0.6,2.16109421674,Naive,20.34,1.66,0.134,0.0,1000,1.00792015423,200,1,randomized_LASSO
0.2,0,0.868467053905,0.218095238095,4.10298653517,Selective MLE,17.46,1.0,0.096,0.056,1000,3.22973247347,200,1,randomized_LASSO
0.2,0,0.0,0.0,0.0,Randomized LASSO,17.46,0.0,0.0,0.0,1000,1.01048679788,200,1,randomized_LASSO
0.2,0,0.811217958999,0.117333333333,inf,Lee,13.18,1.22,0.058,0.032,1000,0.938462922739,200,1,randomized_LASSO
0.2,0,0.499373658179,0.6,1.89997856499,Naive,19.58,1.64,0.208,0.0,1000,0.938462922739,200,1,randomized_LASSO
0.25,0,0.883503463146,0.195,3.70622944753,Selective MLE,18.28,0.88,0.098,0.054,1000,2.47135003169,200,1,randomized_LASSO
0.25,0,0.0,0.0,0.0,Randomized LASSO,18.28,0.0,0.0,0.0,1000,0.97688918139,200,1,randomized_LASSO
0.25,0,0.839550741484,0.0897006327006,inf,Lee,16.44,1.24,0.078,0.042,1000,0.90117958759,200,1,randomized_LASSO
0.25,0,0.616494448814,0.42,1.78032249483,Naive,24.46,1.16,0.236,0.0,1000,0.90117958759,200,1,randomized_LASSO
0.3,0,0.866051921174,0.244095238095,3.13147259805,Selective MLE,19.94,1.68,0.16,0.102,1000,2.36317409857,200,1,randomized_LASSO
0.3,0,0.0,0.0,0.0,Randomized LASSO,19.94,0.0,0.0,0.0,1000,0.939293015234,200,1,randomized_LASSO
0.3,0,0.743928328678,0.167357376284,inf,Lee,15.62,1.82,0.14,0.05,1000,0.858982589281,200,1,randomized_LASSO
0.3,0,0.619547597705,0.34,1.64955307026,Naive,23.2,0.8,0.266,0.0,1000,0.858982589281,200,1,randomized_LASSO
0.42,0,0.867041781847,0.239714285714,2.50968360211,Selective MLE,24.84,2.06,0.222,0.132,1000,2.00307448702,200,1,randomized_LASSO
0.42,0,0.0,0.0,0.0,Randomized LASSO,24.84,0.0,0.0,0.0,1000,0.865395486812,200,1,randomized_LASSO
0.42,0,0.732482450526,0.168303817424,inf,Lee,26.4,3.44,0.224,0.08,1000,0.75939059585,200,1,randomized_LASSO
0.42,0,0.741146303416,0.22,1.54525272229,Naive,37.58,0.66,0.336,0.0,1000,0.75939059585,200,1,randomized_LASSO
0.71,0,0.814466485587,0.263022979436,1.6600714217,Selective MLE,30.0,5.58,0.442,0.364,1000,1.92922645517,200,1,randomized_LASSO
0.71,0,0.0,0.0,0.0,Randomized LASSO,30.0,0.0,0.0,0.0,1000,0.770365309897,200,1,randomized_LASSO
0.71,0,0.808583099881,0.144655122655,inf,Lee,39.18,2.4,0.202,0.058,1000,0.574733612271,200,1,randomized_LASSO
0.71,0,0.897275350581,0.04,1.35357789306,Naive,52.5,0.08,0.472,0.0,1000,0.574733612271,200,1,randomized_LASSO
1.22,0,0.803640115619,0.253073759574,1.22548655163,Selective MLE,31.98,8.86,0.674,0.634,1000,0.783112288547,200,1,randomized_LASSO
1.22,0,0.0,0.0,0.0,Randomized LASSO,31.98,0.0,0.0,0.0,1000,0.609913135656,200,1,randomized_LASSO
1.22,0,0.77612053658,0.116686190856,inf,Lee,48.2,3.44,0.304,0.086,1000,0.373728618284,200,1,randomized_LASSO
1.22,0,0.957601878675,0.0,1.20782773316,Naive,62.32,0.0,0.624,0.0,1000,0.373728618284,200,1,randomized_LASSO
2.07,0,0.770778679702,0.247848096348,0.857075455058,Selective MLE,32.44,12.04,0.894,0.874,1000,0.411382057681,200,1,randomized_LASSO
2.07,0,0.0,0.0,0.0,Randomized LASSO,32.44,0.0,0.0,0.0,1000,0.468370989328,200,1,randomized_LASSO
2.07,0,0.803080990926,0.0965080670963,inf,Lee,49.68,2.66,0.254,0.084,1000,0.208476236462,200,1,randomized_LASSO
2.07,0,0.984105991703,0.0,1.08767214923,Naive,59.22,0.0,0.874,0.0,1000,0.208476236462,200,1,randomized_LASSO
